Unemployment	B	Unemployment	http://en.wikipedia.org/wiki/Unemployment	
area	I	euro_area	http://en.wikipedia.org/wiki/Eurozone	
since				
February	B	February	http://en.wikipedia.org/wiki/February	
2009	B	2009	http://en.wikipedia.org/wiki/2009	
.				
				
Eurostat	B	Eurostat	http://en.wikipedia.org/wiki/Eurostat	Eurostat
estimates				
that				
18.725				
million	B	million	http://en.wikipedia.org/wiki/1,000,000	
men	B	men	http://en.wikipedia.org/wiki/Man	
and				
women	B	women	http://en.wikipedia.org/wiki/Woman	
in				
the				
EU28	B	EU28	http://en.wikipedia.org/wiki/European_Union	
,				
of				
whom				
14.718				
million	B	million	http://en.wikipedia.org/wiki/1,000,000	
in				
the				
euro	B	euro_area	http://en.wikipedia.org/wiki/Eurozone	
area	I	euro_area	http://en.wikipedia.org/wiki/Eurozone	
,				
were				
unemployed	B	unemployed	http://en.wikipedia.org/wiki/Unemployment	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
.				
				
Among				
the				
Member	B	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	Member_state_of_the_European_Union
States	I	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	Member_state_of_the_European_Union
,				
the				
lowest				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
was				
recorded				
in				
the				
Czech	B	Czech_Republic	http://en.wikipedia.org/wiki/Czech_Republic	Czech_Republic
Republic	I	Czech_Republic	http://en.wikipedia.org/wiki/Czech_Republic	Czech_Republic
(				
2.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
,				
Germany	B	Germany	http://en.wikipedia.org/wiki/Germany	Germany
(				
3.8				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
and				
Malta	B	Malta	http://en.wikipedia.org/wiki/Malta	Malta
(				
4.1percent	B	4.1percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
The				
highest				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
were				
observed				
in				
Greece	B	Greece	http://en.wikipedia.org/wiki/Greece	Greece
(				
21.7				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
April	B	April	http://en.wikipedia.org/wiki/April	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
)				
and				
Spain	B	Spain	http://en.wikipedia.org/wiki/Spain	Spain
(				
17.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
Compared				
with				
a				
year	B	year	http://en.wikipedia.org/wiki/Year	
ago				
,				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
fell				
in				
all				
Member	B	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	Member_state_of_the_European_Union
States	I	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	Member_state_of_the_European_Union
for				
which				
data	B	data	http://en.wikipedia.org/wiki/Data	
is				
comparable				
over				
time	B	time	http://en.wikipedia.org/wiki/Time	
,				
except				
Estonia	B	Estonia	http://en.wikipedia.org/wiki/Estonia	Estonia
which				
showed				
an				
increase				
(				
from				
6.5				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
to				
6.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
)				
.				
				
The				
largest				
decreases				
were				
registered				
in				
Spain	B	Spain	http://en.wikipedia.org/wiki/Spain	Spain
(				
from				
19.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
to				
17.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
and				
Croatia	B	Croatia	http://en.wikipedia.org/wiki/Croatia	Croatia
(				
from				
13.3				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
to				
10.6				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
As				
a				
comparison				
,				
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
,				
the				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
the				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
was				
4.4				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
,				
up				
from				
4.3				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
but				
down				
from				
4.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
.				
				
A				
salutary				
wake				
-				
up				
call				
.				
				
With				
his				
clear				
-				
cut				
positions	B	positions	http://en.wikipedia.org/wiki/Political_spectrum	
and				
confrontational				
attitude	B	attitude	http://en.wikipedia.org/wiki/Attitude_(psychology)	
towards				
other				
powers	B	powers	http://en.wikipedia.org/wiki/Power_(social_and_political)	
,				
the				
thundering				
businessman	B	businessman	http://en.wikipedia.org/wiki/Businessperson	
who				
occupies				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	White_House
since				
January	B	January_20th	http://en.wikipedia.org/wiki/January_20	
20th	I	January_20th	http://en.wikipedia.org/wiki/January_20	
has				
the				
merit				
of				
centering				
the				
attention				
of				
the				
majority	B	majority	http://en.wikipedia.org/wiki/Majority	
of				
European	B	European_countries	http://en.wikipedia.org/wiki/Europe	Europe
countries	I	European_countries	http://en.wikipedia.org/wiki/Europe	
.				
				
It				
'				
s				
now				
time				
to				
transform				
this				
shared				
attitude	B	attitude	http://en.wikipedia.org/wiki/Attitude_(psychology)	
into				
real				
politics	B	politics	http://en.wikipedia.org/wiki/Politics	
.				
				
For				
the				
European	B	European_Union	http://en.wikipedia.org/wiki/European_Union	European_Union
Union	I	European_Union	http://en.wikipedia.org/wiki/European_Union	European_Union
,				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
is				
nothing				
less				
than				
a				
blessing	B	blessing	http://en.wikipedia.org/wiki/Blessing	
,				
since				
,				
in				
just				
a				
few				
phrases	B	phrases	http://en.wikipedia.org/wiki/Phrase	
,				
and				
with				
remarkable				
efficacy	B	efficacy	http://en.wikipedia.org/wiki/Efficiency	
,				
he				
has				
made				
it				
close				
ranks				
more				
than				
ever				
for				
a				
long				
time	B	time	http://en.wikipedia.org/wiki/Time	
.				
				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
belongs				
to				
that				
category	B	category	http://en.wikipedia.org/wiki/Category_of_being	
of				
Americans	B	Americans	http://en.wikipedia.org/wiki/Americans	United_States
who				
have				
never				
liked				
for				
the				
idea	B	idea	http://en.wikipedia.org/wiki/Idea	
of				
a				
united				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe
,				
because				
they				
see				
it				
as				
a				
threat	B	threat	http://en.wikipedia.org/wiki/Threat	
to				
the				
economic	B	economic	http://en.wikipedia.org/wiki/Economy	
preeminence	B	preeminence	http://en.wikipedia.org/wiki/Greatness	
of				
their				
own				
country	B	country	http://en.wikipedia.org/wiki/Country	
.				
				
“				
The				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	Union_(American_Civil_War)
was				
partly				
founded				
to				
compete				
with				
the				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
comercially	B	comercially	http://en.wikipedia.org/wiki/Commerce	
,				
ok				
?				
”				
,				
he				
declared				
in				
an				
interview	B	interview	http://en.wikipedia.org/wiki/Interview	
in				
the				
Times	B	Times	http://en.wikipedia.org/wiki/The_Times	
and				
Bild	B	Bild	http://en.wikipedia.org/wiki/Bild	
.				
				
OK				
:				
in				
creating				
the				
common	B	common_market	http://en.wikipedia.org/wiki/European_Economic_Community	
market	I	common_market	http://en.wikipedia.org/wiki/European_Economic_Community	
,				
Europeans	B	Europeans	http://en.wikipedia.org/wiki/Europe	Europe
did				
indeed				
want				
to				
assert				
themselves				
on				
the				
international	B	international_economic	http://en.wikipedia.org/wiki/International_economics	
economic	I	international_economic	http://en.wikipedia.org/wiki/International_economics	
stage				
,				
and				
even				
got				
so				
far				
as				
to				
make				
the				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	Union_(American_Civil_War)
the				
second				
most				
powerful				
economy	B	economy	http://en.wikipedia.org/wiki/Economics	
in				
the				
world	B	world	http://en.wikipedia.org/wiki/World	
.				
				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
is				
so				
unenthused				
by				
this				
that				
he				
adds				
:				
“				
I				
don				
'				
t				
really				
care				
if				
it				
'				
s				
separate				
or				
together				
”				
.				
				
But				
,				
in				
daring				
to				
predict				
the				
success				
of				
Brexit	B	Brexit	http://en.wikipedia.org/wiki/Brexit	Brexit_(disambiguation)
and				
the				
dislocation				
of				
the				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	Union_(American_Civil_War)
,				
and				
,				
above				
all				
,				
judging				
NATO	B	NATO	http://en.wikipedia.org/wiki/NATO	NATO
“				
obsolete				
”				
,				
he				
has				
in				
fact				
shot				
himself				
in				
the				
foot	B	foot	http://en.wikipedia.org/wiki/Foot	
.				
				
Never				
since				
the				
enlargement	B	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
of	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
the	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
Union	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	Union_(American_Civil_War)
,				
the				
establishment				
of				
shared				
common				
policy	B	policy	http://en.wikipedia.org/wiki/Politics	
,				
and				
the				
subsequent				
divorce	B	divorce	http://en.wikipedia.org/wiki/Divorce	
between				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe
and				
its				
citizens	B	citizens	http://en.wikipedia.org/wiki/Citizenship	
,				
have				
Europeans	B	Europeans	http://en.wikipedia.org/wiki/Europe	Europe
shared				
the				
same				
irritation	B	irritation	http://en.wikipedia.org/wiki/Irritability	
and				
the				
same				
desire	B	desire	http://en.wikipedia.org/wiki/Desire	
to				
raise				
the				
gauntlet	B	gauntlet	http://en.wikipedia.org/wiki/Gauntlet_(glove)	
.				
				
There				
'				
s				
a				
form				
of				
unanimity	B	unanimity	http://en.wikipedia.org/wiki/Unanimity	
against				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
:				
Angela	B	Angela_Merkel	http://en.wikipedia.org/wiki/Angela_Merkel	Angela_Merkel
Merkel	I	Angela_Merkel	http://en.wikipedia.org/wiki/Angela_Merkel	Angela_Merkel
:				
“				
I				
'				
m				
going				
to				
continue				
to				
act				
so				
that				
the				
27				
member	B	member_states	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	
states	I	member_states	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	
work				
together				
in				
facing				
the				
challenges				
of				
the				
21st	B	21st_century	http://en.wikipedia.org/wiki/21st_century	
century	I	21st_century	http://en.wikipedia.org/wiki/21st_century	
”				
.				
				
François	B	François_Hollande	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande	François_Hollande
Hollande	I	François_Hollande	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande	François_Hollande
:				
“				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe
has				
no				
need				
for				
advice	B	advice	http://en.wikipedia.org/wiki/Advice_(opinion)	
from				
outside				
for				
what				
it				
should				
do				
”				
.				
				
A				
whole				
section				
of				
the				
old				
partisans	B	partisans	http://en.wikipedia.org/wiki/Partisan_(political)	
who				
voted				
“				
No				
”				
French	B	French	http://en.wikipedia.org/wiki/French_people	France
to				
the				
European	B	European_Constitution	http://en.wikipedia.org/wiki/Treaty_establishing_a_Constitution_for_Europe	Treaties_of_the_European_Union
Constitution	I	European_Constitution	http://en.wikipedia.org/wiki/Treaty_establishing_a_Constitution_for_Europe	Treaties_of_the_European_Union
in				
2005	B	2005	http://en.wikipedia.org/wiki/2005	
become				
now				
European	B	European	http://en.wikipedia.org/wiki/Europe	Europe
,				
and				
it				
'				
s				
all				
of				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe
—				
besides				
the				
far	B	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
-	I	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
right	I	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
—				
that				
understands				
that				
from				
now				
on				
the				
nuclear	B	nuclear_umbrella	http://en.wikipedia.org/wiki/Nuclear_umbrella	
umbrella	I	nuclear_umbrella	http://en.wikipedia.org/wiki/Nuclear_umbrella	
is				
no				
longer				
assured				
,				
and				
that				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump_(disambiguation)
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump_(disambiguation)
has				
not				
only				
declared				
commercial	B	commercial	http://en.wikipedia.org/wiki/Commerce	
war	B	war	http://en.wikipedia.org/wiki/War	
on				
Mexico	B	Mexico	http://en.wikipedia.org/wiki/Mexico	Mexico_(disambiguation)
and				
China	B	China	http://en.wikipedia.org/wiki/China	China_(disambiguation)
,				
but				
also				
on				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe_(disambiguation)
,				
which				
must				
learn				
to				
defend				
itself				
,				
by				
itself				
,				
militarily	B	militarily	http://en.wikipedia.org/wiki/Military	
and				
commercially	B	commercially	http://en.wikipedia.org/wiki/Commerce	
.				
				
All				
the				
better				
.				
				
Thank				
you				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	Trump_(disambiguation)
for				
waking				
us				
from				
a				
deep	B	deep_sleep	http://en.wikipedia.org/wiki/Slow-wave_sleep	
sleep	I	deep_sleep	http://en.wikipedia.org/wiki/Slow-wave_sleep	
.				
				
But				
the				
annoying				
thing				
,				
with				
this				
Twitter	B	Twitter	http://en.wikipedia.org/wiki/Twitter	
lover				
,				
is				
that				
he				
has				
also				
raised				
his				
tone	B	tone	http://en.wikipedia.org/wiki/Tone_(linguistics)	
against				
Beijing	B	Beijing	http://en.wikipedia.org/wiki/Beijing	Beijing_(disambiguation)
,				
where				
they				
'				
re				
now				
talking				
about				
“				
strong				
counter	B	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
-	I	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
measures	I	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
”				
,				
which				
is				
to				
say				
military	B	military_action	http://en.wikipedia.org/wiki/Military_operation	
action	I	military_action	http://en.wikipedia.org/wiki/Military_operation	
,				
if				
he				
keeps				
toying				
with				
the				
question	B	question	http://en.wikipedia.org/wiki/Question	
of				
Taiwan	B	Taiwan	http://en.wikipedia.org/wiki/Taiwan	Taiwan_(disambiguation)
.				
				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe_(disambiguation)
closes				
its				
ranks				
but				
the				
world	B	world	http://en.wikipedia.org/wiki/World	
becomes				
more				
uncertain				
than				
ever				
before				
.				
				
Muzzled				
voice	B	voice	http://en.wikipedia.org/wiki/Human_voice	
of				
Cuba	B	Cuba	http://en.wikipedia.org/wiki/Cuba	Cuba
.				
				
“				
Empty				
chair	B	chair	http://en.wikipedia.org/wiki/Chair	
for				
Fariñas	B	Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	
,				
”				
headlines				
Gazeta	B	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	Gazeta_Wyborcza
Wyborcza	I	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	Gazeta_Wyborcza
the				
day	B	day	http://en.wikipedia.org/wiki/Day	
after				
the				
ceremony	B	ceremony	http://en.wikipedia.org/wiki/Ceremony	
for				
the				
2010	B	2010	http://en.wikipedia.org/wiki/2010	
Sakharov	B	Sakharov_Prize	http://en.wikipedia.org/wiki/Sakharov_Prize	Sakharov_Prize
Prize	I	Sakharov_Prize	http://en.wikipedia.org/wiki/Sakharov_Prize	Sakharov_Prize
in				
the				
European	B	European_Parliament	http://en.wikipedia.org/wiki/European_Parliament	Europe
Parliament	I	European_Parliament	http://en.wikipedia.org/wiki/European_Parliament	
.				
				
The				
award	B	award	http://en.wikipedia.org/wiki/Award	
was				
given				
to				
the				
Cuban	B	Cuban_dissident	http://en.wikipedia.org/wiki/Cuban_dissident_movement	Cuba
dissident	I	Cuban_dissident	http://en.wikipedia.org/wiki/Cuban_dissident_movement	
Guillermo	B	Guillermo_Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	
Fariñas	I	Guillermo_Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	
,				
who				
was				
banned				
by				
Cuban	B	Cuban	http://en.wikipedia.org/wiki/Cuba	Cuba
authorities	B	authorities	http://en.wikipedia.org/wiki/Authority	
from				
travelling				
to				
Strasbourg	B	Strasbourg	http://en.wikipedia.org/wiki/Strasbourg	Strasbourg
.				
				
Hence				
,				
his				
chair	B	chair	http://en.wikipedia.org/wiki/Chair	
covered				
with				
the				
Cuban	B	Cuban_flag	http://en.wikipedia.org/wiki/Flag_of_Cuba	Cuba
flag	I	Cuban_flag	http://en.wikipedia.org/wiki/Flag_of_Cuba	
stood				
empty				
during				
the				
ceremony	B	ceremony	http://en.wikipedia.org/wiki/Ceremony	
.				
				
He				
also				
vowed				
to				
continue				
his				
struggle				
,				
last				
January	B	January	http://en.wikipedia.org/wiki/January	
,				
Fariñas	B	Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	
went				
on				
a				
135				
day	B	day	http://en.wikipedia.org/wiki/Day	
hunger	B	hunger_strike	http://en.wikipedia.org/wiki/Hunger_strike	
strike	I	hunger_strike	http://en.wikipedia.org/wiki/Hunger_strike	
to				
obtain				
the				
release				
from				
jail				
of				
42				
Cuban	B	Cuban	http://en.wikipedia.org/wiki/Cuba	Cuba
opposition				
members				
.				
				
On				
2	B	2_February	http://en.wikipedia.org/wiki/February_2	
February	I	2_February	http://en.wikipedia.org/wiki/February_2	
David	B	David_Cameron	http://en.wikipedia.org/wiki/David_Cameron	David_Cameron
Cameron	I	David_Cameron	http://en.wikipedia.org/wiki/David_Cameron	David_Cameron
and				
European	B	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	European_Council
Council	I	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	European_Council
president	I	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	
Donald	B	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
Tusk	I	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
agreed				
on				
a				
project	B	project	http://en.wikipedia.org/wiki/Project	
settlement				
that				
would				
allow				
British	B	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	United_Kingdom
Prime	I	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	
minister	I	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	
to				
campaign	B	campaign	http://en.wikipedia.org/wiki/Political_campaign	
to				
keep				
the				
UK	B	UK	http://en.wikipedia.org/wiki/United_Kingdom	United_Kingdom
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
in				
the				
referendum	B	referendum	http://en.wikipedia.org/wiki/Referendum	
to				
be				
held				
later				
this				
year	B	year	http://en.wikipedia.org/wiki/Year	
.				
				
The				
plan	B	plan	http://en.wikipedia.org/wiki/Plan	
is				
a				
response				
to				
Cameron	B	Cameron	http://en.wikipedia.org/wiki/David_Cameron	David_Cameron
'				
s				
demands				
,				
offering				
Britain	B	Britain	http://en.wikipedia.org/wiki/Great_Britain	United_Kingdom
,				
which				
already				
enjoys				
several				
exceptions				
from				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
treaty	B	treaty	http://en.wikipedia.org/wiki/Treaty	
,				
a				
gradual				
brake	B	brake	http://en.wikipedia.org/wiki/Brake	
on				
social	B	social_benefits	http://en.wikipedia.org/wiki/Welfare	
benefits	I	social_benefits	http://en.wikipedia.org/wiki/Welfare	
for				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
workers	B	workers	http://en.wikipedia.org/wiki/Workforce	
,				
and				
cuts				
for				
the				
children	B	children	http://en.wikipedia.org/wiki/Child	
of				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
workers	B	workers	http://en.wikipedia.org/wiki/Employment	
living				
outside				
Britain	B	Britain	http://en.wikipedia.org/wiki/Great_Britain	United_Kingdom
.				
				
The				
pact	B	pact	http://en.wikipedia.org/wiki/Consensus_decision-making	
also				
states				
that				
treaty	B	treaty	http://en.wikipedia.org/wiki/Treatise	
references				
to				
“				
ever				
-				
closer				
union	B	union	http://en.wikipedia.org/wiki/European_Union	
”				
are				
“				
not				
an				
equivalent				
to				
the				
objective	B	objective	http://en.wikipedia.org/wiki/Goal	
of				
political	B	political	http://en.wikipedia.org/wiki/Politics	
integration	B	integration	http://en.wikipedia.org/wiki/European_integration	
”				
.				
				
The				
pact	B	pact	http://en.wikipedia.org/wiki/Consensus_decision-making	
has				
to				
be				
agreed				
at				
an				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
summit	B	summit	http://en.wikipedia.org/wiki/Summit_(meeting)	
starting				
on				
18	B	18_February	http://en.wikipedia.org/wiki/February_18	
February	I	18_February	http://en.wikipedia.org/wiki/February_18	
.				
				
The				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
'				
s				
victory	B	victory	http://en.wikipedia.org/wiki/Victory	
in				
the				
American	B	American_presidential_election	http://en.wikipedia.org/wiki/United_States_presidential_election	United_States
presidential	I	American_presidential_election	http://en.wikipedia.org/wiki/United_States_presidential_election	
election	I	American_presidential_election	http://en.wikipedia.org/wiki/United_States_presidential_election	
,				
on				
8	B	8_November	http://en.wikipedia.org/wiki/November_8	
November	I	8_November	http://en.wikipedia.org/wiki/November_8	
after				
a				
brutal				
and				
a				
campaign	B	campaign	http://en.wikipedia.org/wiki/Political_campaign	
of				
provocation	B	provocation	http://en.wikipedia.org/wiki/Provocation_(legal)	
,				
has				
unleashed				
a				
wave	B	wave	http://en.wikipedia.org/wiki/Wave	
of				
concern	B	concern	http://en.wikipedia.org/wiki/Worry	
in				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe
.				
				
Some				
populist	B	populist	http://en.wikipedia.org/wiki/Populism	
leaders	B	leaders	http://en.wikipedia.org/wiki/Leadership	
however				
,				
like				
the				
Hungarian	B	Hungarian	http://en.wikipedia.org/wiki/Hungary	Hungary
Viktor	B	Viktor_Orbán	http://en.wikipedia.org/wiki/Viktor_Orb%C3%A1n	
Orbán	I	Viktor_Orbán	http://en.wikipedia.org/wiki/Viktor_Orb%C3%A1n	
,				
the				
Dutch	B	Dutch	http://en.wikipedia.org/wiki/Netherlands	Netherlands
Geert	B	Geert_Wilders	http://en.wikipedia.org/wiki/Geert_Wilders	Geert_Wilders
Wilders	I	Geert_Wilders	http://en.wikipedia.org/wiki/Geert_Wilders	Geert_Wilders
,				
the				
German	B	German	http://en.wikipedia.org/wiki/Germany	Germany
Frauke	B	Frauke_Petry	http://en.wikipedia.org/wiki/Frauke_Petry	
Petry	I	Frauke_Petry	http://en.wikipedia.org/wiki/Frauke_Petry	
and				
the				
French	B	French	http://en.wikipedia.org/wiki/France	France
Marine	B	Marine_Le_Pen	http://en.wikipedia.org/wiki/Marine_Le_Pen	
Le	I	Marine_Le_Pen	http://en.wikipedia.org/wiki/Marine_Le_Pen	Jean-Marie_Le_Pen
Pen	I	Marine_Le_Pen	http://en.wikipedia.org/wiki/Marine_Le_Pen	Jean-Marie_Le_Pen
,				
were				
delighted				
,				
as				
they				
believe				
that				
Trump	B	Trump'	http://en.wikipedia.org/wiki/Donald_Trump	Donald_Trump
'	I	Trump'	http://en.wikipedia.org/wiki/Donald_Trump	
s				
