Unemployment	B	Unemployment	http://en.wikipedia.org/wiki/Unemployment	
lowest				
rate				
recorded				
in				
the				
euro	B	euro_area	http://en.wikipedia.org/wiki/Eurozone	
area	I	euro_area	http://en.wikipedia.org/wiki/Eurozone	
since				
February	B	February	http://en.wikipedia.org/wiki/February	
2009	B	2009	http://en.wikipedia.org/wiki/2009	
.				
				
Eurostat	B	Eurostat	http://en.wikipedia.org/wiki/Eurostat	http://aksw.org/notInWiki/Eurostat
estimates				
that				
18.725				
million	B	million	http://en.wikipedia.org/wiki/1,000,000	
men	B	men	http://en.wikipedia.org/wiki/Man	
and				
women	B	women	http://en.wikipedia.org/wiki/Woman	
in				
the				
EU28	B	EU28	http://en.wikipedia.org/wiki/European_Union	http://aksw.org/notInWiki/EU28
,				
of				
whom				
14.718				
million	B	million	http://en.wikipedia.org/wiki/1,000,000	
in				
the				
euro	B	euro_area	http://en.wikipedia.org/wiki/Eurozone	
area	I	euro_area	http://en.wikipedia.org/wiki/Eurozone	
,				
were				
unemployed	B	unemployed	http://en.wikipedia.org/wiki/Unemployment	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
.				
				
Among				
the				
Member	B	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	http://dbpedia.org/resource/Member_state
States	I	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	http://dbpedia.org/resource/Member_state
,				
the				
lowest				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
was				
recorded				
in				
the				
Czech	B	Czech_Republic	http://en.wikipedia.org/wiki/Czech_Republic	http://dbpedia.org/resource/Czech_Republic
Republic	I	Czech_Republic	http://en.wikipedia.org/wiki/Czech_Republic	http://dbpedia.org/resource/Czech_Republic
(				
2.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
,				
Germany	B	Germany	http://en.wikipedia.org/wiki/Germany	http://dbpedia.org/resource/Germany
(				
3.8				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
and				
Malta	B	Malta	http://en.wikipedia.org/wiki/Malta	http://dbpedia.org/resource/Malta
(				
4.1percent	B	4.1percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
The				
highest				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
were				
observed				
in				
Greece	B	Greece	http://en.wikipedia.org/wiki/Greece	http://dbpedia.org/resource/Greece
(				
21.7				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
April	B	April	http://en.wikipedia.org/wiki/April	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
)				
and				
Spain	B	Spain	http://en.wikipedia.org/wiki/Spain	http://dbpedia.org/resource/Spain
(				
17.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
Compared				
with				
a				
year	B	year	http://en.wikipedia.org/wiki/Year	
ago				
,				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
fell				
in				
all				
Member	B	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	http://dbpedia.org/resource/Member_state
States	I	Member_States	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	http://dbpedia.org/resource/Member_state
for				
which				
data	B	data	http://en.wikipedia.org/wiki/Data	
is				
comparable				
over				
time	B	time	http://en.wikipedia.org/wiki/Time	
,				
except				
Estonia	B	Estonia	http://en.wikipedia.org/wiki/Estonia	http://dbpedia.org/resource/Estonia
which				
showed				
an				
increase				
(				
from				
6.5				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
to				
6.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
)				
.				
				
The				
largest				
decreases				
were				
registered				
in				
Spain	B	Spain	http://en.wikipedia.org/wiki/Spain	http://dbpedia.org/resource/Spain
(				
from				
19.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
to				
17.1				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
and				
Croatia	B	Croatia	http://en.wikipedia.org/wiki/Croatia	http://dbpedia.org/resource/Croatia
(				
from				
13.3				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
to				
10.6				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
)				
.				
				
As				
a				
comparison				
,				
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
,				
the				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
in				
the				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
was				
4.4				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
,				
up				
from				
4.3				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
May	B	May	http://en.wikipedia.org/wiki/May	
2017	B	2017	http://en.wikipedia.org/wiki/2017	
but				
down				
from				
4.9				
percent	B	percent	http://en.wikipedia.org/wiki/Percentage	
in				
June	B	June	http://en.wikipedia.org/wiki/June	
2016	B	2016	http://en.wikipedia.org/wiki/2016	
.				
				
A				
salutary				
wake				
-				
up				
call				
.				
				
With				
his				
clear				
-				
cut				
positions	B	positions	http://en.wikipedia.org/wiki/Political_spectrum	
and				
confrontational				
attitude	B	attitude	http://en.wikipedia.org/wiki/Attitude_(psychology)	
towards				
other				
powers	B	powers	http://en.wikipedia.org/wiki/Power_(social_and_political)	
,				
the				
thundering				
businessman	B	businessman	http://en.wikipedia.org/wiki/Businessperson	
who				
occupies				
the				
White	B	White_House	http://en.wikipedia.org/wiki/White_House	http://dbpedia.org/resource/White_House
House	I	White_House	http://en.wikipedia.org/wiki/White_House	http://dbpedia.org/resource/White_House
since				
January	B	January_20th	http://en.wikipedia.org/wiki/January_20	
20th	I	January_20th	http://en.wikipedia.org/wiki/January_20	
has				
the				
merit				
of				
centering				
the				
attention				
of				
the				
majority	B	majority	http://en.wikipedia.org/wiki/Majority	
of				
European	B	European_countries	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
countries	I	European_countries	http://en.wikipedia.org/wiki/Europe	
.				
				
It				
'				
s				
now				
time				
to				
transform				
this				
shared				
attitude	B	attitude	http://en.wikipedia.org/wiki/Attitude_(psychology)	
into				
real				
politics	B	politics	http://en.wikipedia.org/wiki/Politics	
.				
				
For				
the				
European	B	European_Union	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
Union	I	European_Union	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
,				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
is				
nothing				
less				
than				
a				
blessing	B	blessing	http://en.wikipedia.org/wiki/Blessing	
,				
since				
,				
in				
just				
a				
few				
phrases	B	phrases	http://en.wikipedia.org/wiki/Phrase	
,				
and				
with				
remarkable				
efficacy	B	efficacy	http://en.wikipedia.org/wiki/Efficiency	
,				
he				
has				
made				
it				
close				
ranks				
more				
than				
ever				
for				
a				
long				
time	B	time	http://en.wikipedia.org/wiki/Time	
.				
				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
belongs				
to				
that				
category	B	category	http://en.wikipedia.org/wiki/Category_of_being	
of				
Americans	B	Americans	http://en.wikipedia.org/wiki/Americans	http://aksw.org/notInWiki/Americans
who				
have				
never				
liked				
for				
the				
idea	B	idea	http://en.wikipedia.org/wiki/Idea	
of				
a				
united				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
,				
because				
they				
see				
it				
as				
a				
threat	B	threat	http://en.wikipedia.org/wiki/Threat	
to				
the				
economic	B	economic	http://en.wikipedia.org/wiki/Economy	
preeminence	B	preeminence	http://en.wikipedia.org/wiki/Greatness	
of				
their				
own				
country	B	country	http://en.wikipedia.org/wiki/Country	
.				
				
“				
The				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
was				
partly				
founded				
to				
compete				
with				
the				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	http://dbpedia.org/resource/United_States
comercially	B	comercially	http://en.wikipedia.org/wiki/Commerce	
,				
ok				
?				
”				
,				
he				
declared				
in				
an				
interview	B	interview	http://en.wikipedia.org/wiki/Interview	
in				
the				
Times	B	Times	http://en.wikipedia.org/wiki/The_Times	http://aksw.org/notInWiki/TimesandBild
and				http://aksw.org/notInWiki/TimesandBild
Bild	B	Bild	http://en.wikipedia.org/wiki/Bild	http://aksw.org/notInWiki/TimesandBild
.				
				
OK				
:				
in				
creating				
the				
common	B	common_market	http://en.wikipedia.org/wiki/European_Economic_Community	
market	I	common_market	http://en.wikipedia.org/wiki/European_Economic_Community	
,				
Europeans	B	Europeans	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
did				
indeed				
want				
to				
assert				
themselves				
on				
the				
international	B	international_economic	http://en.wikipedia.org/wiki/International_economics	
economic	I	international_economic	http://en.wikipedia.org/wiki/International_economics	
stage				
,				
and				
even				
got				
so				
far				
as				
to				
make				
the				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
the				
second				
most				
powerful				
economy	B	economy	http://en.wikipedia.org/wiki/Economics	
in				
the				
world	B	world	http://en.wikipedia.org/wiki/World	
.				
				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
is				
so				
unenthused				
by				
this				
that				
he				
adds				
:				
“				
I				
don				
'				
t				
really				
care				
if				
it				
'				
s				
separate				
or				
together				
”				
.				
				
But				
,				
in				
daring				
to				
predict				
the				
success				
of				
Brexit	B	Brexit	http://en.wikipedia.org/wiki/Brexit	http://dbpedia.org/resource/United_Kingdom_withdrawal_from_the_European_Union
and				
the				
dislocation				
of				
the				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
,				
and				
,				
above				
all				
,				
judging				
NATO	B	NATO	http://en.wikipedia.org/wiki/NATO	http://dbpedia.org/resource/NATO
“				
obsolete				
”				
,				
he				
has				
in				
fact				
shot				
himself				
in				
the				
foot	B	foot	http://en.wikipedia.org/wiki/Foot	
.				
				
Never				
since				
the				
enlargement	B	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
of	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
the	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	
Union	I	enlargement_of_the_Union	http://en.wikipedia.org/wiki/Enlargement_of_the_European_Union	http://dbpedia.org/resource/European_Union
,				
the				
establishment				
of				
shared				
common				
policy	B	policy	http://en.wikipedia.org/wiki/Politics	
,				
and				
the				
subsequent				
divorce	B	divorce	http://en.wikipedia.org/wiki/Divorce	
between				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
and				
its				
citizens	B	citizens	http://en.wikipedia.org/wiki/Citizenship	
,				
have				
Europeans	B	Europeans	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
shared				
the				
same				
irritation	B	irritation	http://en.wikipedia.org/wiki/Irritability	
and				
the				
same				
desire	B	desire	http://en.wikipedia.org/wiki/Desire	
to				
raise				
the				
gauntlet	B	gauntlet	http://en.wikipedia.org/wiki/Gauntlet_(glove)	
.				
				
There				
'				
s				
a				
form				
of				
unanimity	B	unanimity	http://en.wikipedia.org/wiki/Unanimity	
against				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
:				
Angela	B	Angela_Merkel	http://en.wikipedia.org/wiki/Angela_Merkel	http://dbpedia.org/resource/Angela_Merkel
Merkel	I	Angela_Merkel	http://en.wikipedia.org/wiki/Angela_Merkel	http://dbpedia.org/resource/Angela_Merkel
:				
“				
I				
'				
m				
going				
to				
continue				
to				
act				
so				
that				
the				
27				
member	B	member_states	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	
states	I	member_states	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	
work				
together				
in				
facing				
the				
challenges				
of				
the				
21st	B	21st_century	http://en.wikipedia.org/wiki/21st_century	
century	I	21st_century	http://en.wikipedia.org/wiki/21st_century	
”				
.				
				
François	B	François_Hollande	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande	http://dbpedia.org/resource/François_Hollande
Hollande	I	François_Hollande	http://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande	http://dbpedia.org/resource/François_Hollande
:				
“				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
has				
no				
need				
for				
advice	B	advice	http://en.wikipedia.org/wiki/Advice_(opinion)	
from				
outside				
for				
what				
it				
should				
do				
”				
.				
				
A				
whole				
section				
of				
the				
old				
partisans	B	partisans	http://en.wikipedia.org/wiki/Partisan_(political)	
who				
voted				
“				
No				
”				
French	B	French	http://en.wikipedia.org/wiki/French_people	http://dbpedia.org/resource/French_(surname)
to				
the				
European	B	European_Constitution	http://en.wikipedia.org/wiki/Treaty_establishing_a_Constitution_for_Europe	http://aksw.org/notInWiki/EuropeanConstitution
Constitution	I	European_Constitution	http://en.wikipedia.org/wiki/Treaty_establishing_a_Constitution_for_Europe	http://aksw.org/notInWiki/EuropeanConstitution
in				
2005	B	2005	http://en.wikipedia.org/wiki/2005	
become				
now				
European	B	European	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
,				
and				
it				
'				
s				
all				
of				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
—				
besides				
the				
far	B	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
-	I	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
right	I	far-right	http://en.wikipedia.org/wiki/Far-right_politics	
—				
that				
understands				
that				
from				
now				
on				
the				
nuclear	B	nuclear_umbrella	http://en.wikipedia.org/wiki/Nuclear_umbrella	
umbrella	I	nuclear_umbrella	http://en.wikipedia.org/wiki/Nuclear_umbrella	
is				
no				
longer				
assured				
,				
and				
that				
Donald	B	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
Trump	I	Donald_Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
has				
not				
only				
declared				
commercial	B	commercial	http://en.wikipedia.org/wiki/Commerce	
war	B	war	http://en.wikipedia.org/wiki/War	
on				
Mexico	B	Mexico	http://en.wikipedia.org/wiki/Mexico	http://dbpedia.org/resource/Mexico
and				
China	B	China	http://en.wikipedia.org/wiki/China	http://dbpedia.org/resource/China
,				
but				
also				
on				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
,				
which				
must				
learn				
to				
defend				
itself				
,				
by				
itself				
,				
militarily	B	militarily	http://en.wikipedia.org/wiki/Military	
and				
commercially	B	commercially	http://en.wikipedia.org/wiki/Commerce	
.				
				
All				
the				
better				
.				
				
Thank				
you				
Trump	B	Trump	http://en.wikipedia.org/wiki/Donald_Trump	http://dbpedia.org/resource/Donald_Trump
for				
waking				
us				
from				
a				
deep	B	deep_sleep	http://en.wikipedia.org/wiki/Slow-wave_sleep	
sleep	I	deep_sleep	http://en.wikipedia.org/wiki/Slow-wave_sleep	
.				
				
But				
the				
annoying				
thing				
,				
with				
this				
Twitter	B	Twitter	http://en.wikipedia.org/wiki/Twitter	
lover				
,				
is				
that				
he				
has				
also				
raised				
his				
tone	B	tone	http://en.wikipedia.org/wiki/Tone_(linguistics)	
against				
Beijing	B	Beijing	http://en.wikipedia.org/wiki/Beijing	http://dbpedia.org/resource/Beijing
,				
where				
they				
'				
re				
now				
talking				
about				
“				
strong				
counter	B	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
-	I	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
measures	I	counter-measures	http://en.wikipedia.org/wiki/Countermeasure	
”				
,				
which				
is				
to				
say				
military	B	military_action	http://en.wikipedia.org/wiki/Military_operation	
action	I	military_action	http://en.wikipedia.org/wiki/Military_operation	
,				
if				
he				
keeps				
toying				
with				
the				
question	B	question	http://en.wikipedia.org/wiki/Question	
of				
Taiwan	B	Taiwan	http://en.wikipedia.org/wiki/Taiwan	http://dbpedia.org/resource/Taiwan
.				
				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	http://dbpedia.org/resource/Ethnic_groups_in_Europe
closes				
its				
ranks				
but				
the				
world	B	world	http://en.wikipedia.org/wiki/World	
becomes				
more				
uncertain				
than				
ever				
before				
.				
				
Muzzled				
voice	B	voice	http://en.wikipedia.org/wiki/Human_voice	
of				
Cuba	B	Cuba	http://en.wikipedia.org/wiki/Cuba	http://dbpedia.org/resource/Mark_Cuban
.				
				
“				
Empty				
chair	B	chair	http://en.wikipedia.org/wiki/Chair	
for				
Fariñas	B	Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	http://dbpedia.org/resource/Guillermo_Fariñas
,				
”				
headlines				
Gazeta	B	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	http://dbpedia.org/resource/Gazeta_Wyborcza
Wyborcza	I	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	http://dbpedia.org/resource/Gazeta_Wyborcza
the				
day	B	day	http://en.wikipedia.org/wiki/Day	
after				
the				
ceremony	B	ceremony	http://en.wikipedia.org/wiki/Ceremony	
for				
the				
2010	B	2010	http://en.wikipedia.org/wiki/2010	http://aksw.org/notInWiki/2010SakharovPrize
Sakharov	B	Sakharov_Prize	http://en.wikipedia.org/wiki/Sakharov_Prize	http://aksw.org/notInWiki/2010SakharovPrize
Prize	I	Sakharov_Prize	http://en.wikipedia.org/wiki/Sakharov_Prize	http://aksw.org/notInWiki/2010SakharovPrize
in				
the				
European	B	European_Parliament	http://en.wikipedia.org/wiki/European_Parliament	http://dbpedia.org/resource/Europeans_(band)
Parliament	I	European_Parliament	http://en.wikipedia.org/wiki/European_Parliament	
.				
				
The				
award	B	award	http://en.wikipedia.org/wiki/Award	
was				
given				
to				
the				
Cuban	B	Cuban_dissident	http://en.wikipedia.org/wiki/Cuban_dissident_movement	http://dbpedia.org/resource/Mark_Cuban
dissident	I	Cuban_dissident	http://en.wikipedia.org/wiki/Cuban_dissident_movement	
Guillermo	B	Guillermo_Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	http://dbpedia.org/resource/Guillermo_Fariñas
Fariñas	I	Guillermo_Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	http://dbpedia.org/resource/Guillermo_Fariñas
,				
who				
was				
banned				
by				
Cuban	B	Cuban	http://en.wikipedia.org/wiki/Cuba	http://dbpedia.org/resource/Mark_Cuban
authorities	B	authorities	http://en.wikipedia.org/wiki/Authority	
from				
travelling				
to				
Strasbourg	B	Strasbourg	http://en.wikipedia.org/wiki/Strasbourg	http://dbpedia.org/resource/Strasbourg
.				
				
Hence				
,				
his				
chair	B	chair	http://en.wikipedia.org/wiki/Chair	
covered				
with				
the				
Cuban	B	Cuban_flag	http://en.wikipedia.org/wiki/Flag_of_Cuba	http://dbpedia.org/resource/Mark_Cuban
flag	I	Cuban_flag	http://en.wikipedia.org/wiki/Flag_of_Cuba	
stood				
empty				
during				
the				
ceremony	B	ceremony	http://en.wikipedia.org/wiki/Ceremony	
.				
				
He				
also				
vowed				
to				
continue				
his				
struggle				
,				
last				
January	B	January	http://en.wikipedia.org/wiki/January	
,				
Fariñas	B	Fariñas	http://en.wikipedia.org/wiki/Guillermo_Fari%C3%B1as	http://dbpedia.org/resource/Guillermo_Fariñas
went				
on				
a				
135				
day	B	day	http://en.wikipedia.org/wiki/Day	
hunger	B	hunger_strike	http://en.wikipedia.org/wiki/Hunger_strike	
strike	I	hunger_strike	http://en.wikipedia.org/wiki/Hunger_strike	
to				
obtain				
the				
release				
from				
jail				
of				
42				
Cuban	B	Cuban	http://en.wikipedia.org/wiki/Cuba	http://dbpedia.org/resource/Mark_Cuban
opposition				
members				
.				
				
On				
2	B	2_February	http://en.wikipedia.org/wiki/February_2	
February	I	2_February	http://en.wikipedia.org/wiki/February_2	
David	B	David_Cameron	http://en.wikipedia.org/wiki/David_Cameron	http://dbpedia.org/resource/David_Cameron
Cameron	I	David_Cameron	http://en.wikipedia.org/wiki/David_Cameron	http://dbpedia.org/resource/David_Cameron
and				
European	B	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	http://dbpedia.org/resource/European_Council
Council	I	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	http://dbpedia.org/resource/European_Council
president	I	European_Council_president	http://en.wikipedia.org/wiki/President_of_the_European_Council	
Donald	B	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	http://dbpedia.org/resource/Donald_Tusk
Tusk	I	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	http://dbpedia.org/resource/Donald_Tusk
agreed				
on				
a				
project	B	project	http://en.wikipedia.org/wiki/Project	
settlement				
that				
would				
allow				
British	B	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	http://dbpedia.org/resource/British_English
Prime	I	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	
minister	I	British_Prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom	
to				
campaign	B	campaign	http://en.wikipedia.org/wiki/Political_campaign	
to				
keep				
the				
UK	B	UK	http://en.wikipedia.org/wiki/United_Kingdom	http://dbpedia.org/resource/United_Kingdom
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
in				
the				
referendum	B	referendum	http://en.wikipedia.org/wiki/Referendum	
to				
be				
held				
later				
this				
year	B	year	http://en.wikipedia.org/wiki/Year	
.				
				
The				
plan	B	plan	http://en.wikipedia.org/wiki/Plan	
is				
a				
response				
to				
Cameron	B	Cameron	http://en.wikipedia.org/wiki/David_Cameron	http://dbpedia.org/resource/David_Cameron
'				
s				
demands				
,				
offering				
Britain	B	Britain	http://en.wikipedia.org/wiki/Great_Britain	http://dbpedia.org/resource/United_Kingdom
,				
which				
already				
enjoys				
several				
exceptions				
from				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
treaty	B	treaty	http://en.wikipedia.org/wiki/Treaty	
,				
a				
gradual				
brake	B	brake	http://en.wikipedia.org/wiki/Brake	
on				
social	B	social_benefits	http://en.wikipedia.org/wiki/Welfare	
benefits	I	social_benefits	http://en.wikipedia.org/wiki/Welfare	
for				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
workers	B	workers	http://en.wikipedia.org/wiki/Workforce	
,				
and				
cuts				
for				
the				
children	B	children	http://en.wikipedia.org/wiki/Child	
of				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
workers	B	workers	http://en.wikipedia.org/wiki/Employment	
living				
outside				
Britain	B	Britain	http://en.wikipedia.org/wiki/Great_Britain	http://dbpedia.org/resource/United_Kingdom
.				
				
The				
pact	B	pact	http://en.wikipedia.org/wiki/Consensus_decision-making	
also				
states				
that				
treaty	B	treaty	http://en.wikipedia.org/wiki/Treatise	
references				
to				
“				
ever				
-				
closer				
union	B	union	http://en.wikipedia.org/wiki/European_Union	
”				
are				
“				
not				
an				
equivalent				
to				
the				
objective	B	objective	http://en.wikipedia.org/wiki/Goal	
of				
political	B	political	http://en.wikipedia.org/wiki/Politics	
integration	B	integration	http://en.wikipedia.org/wiki/European_integration	
”				
.				
				
The				
pact	B	pact	http://en.wikipedia.org/wiki/Consensus_decision-making	
has				
to				
be				
agreed				
at				
an				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	http://dbpedia.org/resource/European_Union
